E(eV),T(E)
-4.135338345864662202e+00,4.490195428801450062e-01
-4.085213032581453518e+00,4.439303475124492526e-01
-4.035087719298245723e+00,4.417868885769341558e-01
-3.984962406015037928e+00,4.424997918711596201e-01
-3.934837092731830133e+00,4.460356147640233693e-01
-3.884711779448622337e+00,4.524139528777119112e-01
-3.834586466165413654e+00,4.617049149894445481e-01
-3.784461152882205859e+00,4.740265418530440478e-01
-3.734335839598998064e+00,4.895413980161028022e-01
-3.684210526315789380e+00,5.084511003612978142e-01
-3.634085213032581585e+00,5.309868840532594447e-01
-3.583959899749373790e+00,5.573933690793032580e-01
-3.533834586466165995e+00,5.879014301502383244e-01
-3.483709273182958199e+00,6.226845410556717253e-01
-3.433583959899749516e+00,6.617914702037230867e-01
-3.383458646616541721e+00,7.050476023910977608e-01
-3.333333333333333925e+00,7.519192900942160973e-01
-3.283208020050125242e+00,8.013437254226926099e-01
-3.233082706766917447e+00,8.515452199595846539e-01
-3.182957393483709652e+00,8.998904901771817011e-01
-3.132832080200501856e+00,9.428756468081006537e-01
-3.082706766917294061e+00,9.763632552075397486e-01
-3.032581453634085378e+00,9.961552055462087329e-01
-2.982456140350877583e+00,9.988566586207782150e-01
-2.932330827067669787e+00,9.827846240701360037e-01
-2.882205513784461104e+00,9.485362595109113615e-01
-2.832080200501253309e+00,8.989172305056160051e-01
-2.781954887218045513e+00,8.382397728559627392e-01
-2.731829573934837718e+00,7.713142501733587508e-01
-2.681704260651629923e+00,7.025446091777238777e-01
-2.631578947368421240e+00,6.353823448330364609e-01
-2.581453634085213444e+00,5.721660193535528238e-01
-2.531328320802005649e+00,5.142290787606859093e-01
-2.481203007518796966e+00,4.621302533838657634e-01
-2.431077694235589171e+00,4.158997764307614253e-01
-2.380952380952381375e+00,3.752468808280530754e-01
-2.330827067669173580e+00,3.397124288081009302e-01
-2.280701754385965785e+00,3.087707781974405874e-01
-2.230576441102757101e+00,2.818922810635612342e-01
-2.180451127819549306e+00,2.585782774693463071e-01
-2.130325814536341511e+00,2.383782629346976045e-01
-2.080200501253132828e+00,2.208962344879817630e-01
-2.030075187969925032e+00,2.057909254850066871e-01
-1.979949874686717237e+00,1.927729384406104696e-01
-1.929824561403508554e+00,1.816006270020695534e-01
-1.879699248120301647e+00,1.720758377996151889e-01
-1.829573934837092963e+00,1.640401797086610269e-01
-1.779448621553886056e+00,1.573722508115945884e-01
-1.729323308270677373e+00,1.519861633657594580e-01
-1.679197994987468689e+00,1.478317358170033180e-01
-1.629072681704261782e+00,1.448968693113923123e-01
-1.578947368421053099e+00,1.432129306361948351e-01
-1.528822055137844416e+00,1.428645143513318783e-01
-1.478696741854637509e+00,1.440059416536016157e-01
-1.428571428571428825e+00,1.468886538425941413e-01
-1.378446115288220142e+00,1.519070675261991188e-01
